What is your main occupation?,Given the chosen climate event - which 3 items are most useful to you?_Borehole,Given the chosen climate event - which 3 items are most useful to you?_Donkey and Cart,Given the chosen climate event - which 3 items are most useful to you?_Irrigation,Given the chosen climate event - which 3 items are most useful to you?_Hospital,Given the chosen climate event - which 3 items are most useful to you?_Rainwater Harvesting System,Given the chosen climate event - which 3 items are most useful to you?_Electricity,Given the chosen climate event - which 3 items are most useful to you?_Gas Stove,Given the chosen climate event - which 3 items are most useful to you?_River,Given the chosen climate event - which 3 items are most useful to you?_Water,Given the chosen climate event - which 3 items are most useful to you?_Money,Given the chosen climate event - which 3 items are most useful to you?_Furniture,Given the chosen climate event - which 3 items are most useful to you?_House,Given the chosen climate event - which 3 items are most useful to you?_Mobile Phone,Given the chosen climate event - which 3 items are most useful to you?_Vegetables,Given the chosen climate event - which 3 items are most useful to you?_Clothes,Given the chosen climate event - which 3 items are most useful to you?_Bike,Given the chosen climate event - which 3 items are most useful to you?_Jerrycan,Given the chosen climate event - which 3 items are most useful to you?_Solar PV System,Given the chosen climate event - which 3 items are most useful to you?_Water Pump,Given the chosen climate event - which 3 items are most useful to you?_Bible,Given the chosen climate event - which 3 items are most useful to you?_Crops,Given the chosen climate event - which 3 items are most useful to you?_Charcoal Stove,Given the chosen climate event - which 3 items are most useful to you?_Car,Given the chosen climate event - which 3 items are most useful to you?_Watering Can,Given the chosen climate event - which 3 items are most useful to you?_Wood Stove,Given the chosen climate event - which 3 items are most useful to you?_Wheelbarrow,Given the chosen climate event - which 3 items are most useful to you?_Fire,Given the chosen climate event - which 3 items are most useful to you?_Doctor,Given the chosen climate event - which 3 items are most useful to you?_Fan,Given the chosen climate event - which 3 items are most useful to you?_Shower,Given the chosen climate event - which 3 items are most useful to you?_Chicken,Given the chosen climate event - which 3 items are most useful to you?_Overhead Water Tank,Given the chosen climate event - which 3 items are most useful to you?_Corrugated Iron Sheet,Given the chosen climate event - which 3 items are most useful to you?_Light Bulb,Given the chosen climate event - which 3 items are most useful to you?_Road,Given the chosen climate event - which 3 items are most useful to you?_Motorcycle,Given the chosen climate event - which 3 items are most useful to you?_Generator,Given the chosen climate event - which 3 items are most useful to you?_School,Given the chosen climate event - which 3 items are most useful to you?_Grain Mill,Given the chosen climate event - which 3 items are most useful to you?_Battery,Given the chosen climate event - which 3 items are most useful to you?_Boat,Given the chosen climate event - which 3 items are most useful to you?_Computer,Given the chosen climate event - which 3 items are most useful to you?_Medicine,Given the chosen climate event - which 3 items are most useful to you?_Kerosene Lantern,Given the chosen climate event - which 3 items are most useful to you?_Fridge,Given the chosen climate event - which 3 items are most useful to you?_Disposable Sanitary Pad,Given the chosen climate event - which 3 items are most useful to you?_Fishing Net or Rod,Given the chosen climate event - which 3 items are most useful to you?_Meat,Given the chosen climate event - which 3 items are most useful to you?_Alcohol,Given the chosen climate event - which 3 items are most useful to you?_Toilet Flush,Given the chosen climate event - which 3 items are most useful to you?_Book and Pen,Given the chosen climate event - which 3 items are most useful to you?_Torch,Given the chosen climate event - which 3 items are most useful to you?_Toilet Squat
Accountant,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Farmer-animals,0.3865546218487395,0.25210084033613445,0.08403361344537816,0.09243697478991597,0.03361344537815126,0.06722689075630252,0.008403361344537815,0.05042016806722689,0.09243697478991597,0.31932773109243695,0.0,0.2184873949579832,0.21008403361344538,0.008403361344537815,0.2605042016806723,0.025210084033613446,0.04201680672268908,0.008403361344537815,0.0,0.3025210084033613,0.06722689075630252,0.008403361344537815,0.12605042016806722,0.0,0.008403361344537815,0.025210084033613446,0.01680672268907563,0.01680672268907563,0.0,0.0,0.025210084033613446,0.0,0.0,0.0,0.0,0.10084033613445378,0.025210084033613446,0.0,0.01680672268907563,0.01680672268907563,0.06722689075630252,0.0,0.008403361344537815,0.0,0.008403361344537815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Farmer-crops,0.46540880503144655,0.1509433962264151,0.11320754716981132,0.06289308176100629,0.07547169811320754,0.025157232704402517,0.012578616352201259,0.050314465408805034,0.23270440251572327,0.32075471698113206,0.012578616352201259,0.2389937106918239,0.1320754716981132,0.06918238993710692,0.1949685534591195,0.018867924528301886,0.07547169811320754,0.0440251572327044,0.006289308176100629,0.1761006289308176,0.07547169811320754,0.050314465408805034,0.0440251572327044,0.0,0.012578616352201259,0.050314465408805034,0.018867924528301886,0.025157232704402517,0.006289308176100629,0.0,0.03773584905660377,0.018867924528301886,0.03773584905660377,0.0,0.012578616352201259,0.031446540880503145,0.006289308176100629,0.012578616352201259,0.006289308176100629,0.031446540880503145,0.018867924528301886,0.006289308176100629,0.006289308176100629,0.0,0.006289308176100629,0.006289308176100629,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fisherman,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
Government jobholder,0.5714285714285714,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.07142857142857142,0.0,0.0,0.0,0.14285714285714285,0.21428571428571427,0.0,0.14285714285714285,0.21428571428571427,0.0,0.14285714285714285,0.0,0.07142857142857142,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Housework unpaid,0.36,0.12,0.08,0.04,0.0,0.04,0.0,0.08,0.16,0.36,0.0,0.24,0.08,0.0,0.32,0.04,0.12,0.04,0.0,0.08,0.16,0.24,0.0,0.0,0.0,0.04,0.08,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.04,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0
IT sector,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other,0.5217391304347826,0.17391304347826086,0.15217391304347827,0.021739130434782608,0.21739130434782608,0.043478260869565216,0.021739130434782608,0.021739130434782608,0.17391304347826086,0.30434782608695654,0.0,0.17391304347826086,0.10869565217391304,0.06521739130434782,0.15217391304347827,0.0,0.021739130434782608,0.021739130434782608,0.0,0.1956521739130435,0.13043478260869565,0.021739130434782608,0.021739130434782608,0.0,0.0,0.021739130434782608,0.0,0.021739130434782608,0.021739130434782608,0.0,0.021739130434782608,0.043478260869565216,0.043478260869565216,0.0,0.021739130434782608,0.06521739130434782,0.021739130434782608,0.0,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.0,0.043478260869565216,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0
Private jobholder,0.7058823529411765,0.20588235294117646,0.2647058823529412,0.029411764705882353,0.029411764705882353,0.0,0.0,0.029411764705882353,0.17647058823529413,0.08823529411764706,0.0,0.058823529411764705,0.08823529411764706,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.2647058823529412,0.0,0.0,0.20588235294117646,0.058823529411764705,0.0,0.029411764705882353,0.0,0.0,0.11764705882352941,0.058823529411764705,0.0,0.0,0.0,0.0,0.14705882352941177,0.058823529411764705,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Retired,0.5,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.25,0.25,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Small business employee,0.36363636363636365,0.21212121212121213,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.030303030303030304,0.0,0.0,0.2727272727272727,0.30303030303030304,0.0,0.12121212121212122,0.12121212121212122,0.12121212121212122,0.18181818181818182,0.06060606060606061,0.15151515151515152,0.09090909090909091,0.030303030303030304,0.15151515151515152,0.030303030303030304,0.06060606060606061,0.030303030303030304,0.030303030303030304,0.0,0.06060606060606061,0.0,0.06060606060606061,0.030303030303030304,0.0,0.0,0.0,0.12121212121212122,0.0,0.030303030303030304,0.06060606060606061,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.030303030303030304
Small business owner,0.4689655172413793,0.1724137931034483,0.0896551724137931,0.0896551724137931,0.05517241379310345,0.07586206896551724,0.020689655172413793,0.027586206896551724,0.20689655172413793,0.2896551724137931,0.006896551724137931,0.11724137931034483,0.09655172413793103,0.11724137931034483,0.13793103448275862,0.08275862068965517,0.06896551724137931,0.013793103448275862,0.020689655172413793,0.3103448275862069,0.04827586206896552,0.027586206896551724,0.041379310344827586,0.0,0.0,0.006896551724137931,0.006896551724137931,0.05517241379310345,0.0,0.0,0.034482758620689655,0.04827586206896552,0.034482758620689655,0.0,0.0,0.0896551724137931,0.013793103448275862,0.020689655172413793,0.013793103448275862,0.0,0.013793103448275862,0.0,0.0,0.006896551724137931,0.027586206896551724,0.006896551724137931,0.013793103448275862,0.0,0.0,0.006896551724137931,0.006896551724137931,0.006896551724137931,0.0
Student,0.5555555555555556,0.19444444444444445,0.16666666666666666,0.1388888888888889,0.1388888888888889,0.027777777777777776,0.0,0.05555555555555555,0.08333333333333333,0.1388888888888889,0.0,0.19444444444444445,0.1388888888888889,0.0,0.2222222222222222,0.027777777777777776,0.08333333333333333,0.0,0.05555555555555555,0.19444444444444445,0.05555555555555555,0.0,0.027777777777777776,0.0,0.0,0.027777777777777776,0.0,0.05555555555555555,0.027777777777777776,0.0,0.0,0.027777777777777776,0.027777777777777776,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.1111111111111111,0.027777777777777776,0.027777777777777776,0.05555555555555555,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0
Teacher,0.6818181818181818,0.3181818181818182,0.18181818181818182,0.0,0.045454545454545456,0.045454545454545456,0.0,0.0,0.13636363636363635,0.45454545454545453,0.0,0.045454545454545456,0.13636363636363635,0.0,0.09090909090909091,0.0,0.18181818181818182,0.0,0.09090909090909091,0.18181818181818182,0.045454545454545456,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unemployed,0.4410958904109589,0.11232876712328767,0.15342465753424658,0.0821917808219178,0.03287671232876712,0.03287671232876712,0.00821917808219178,0.0273972602739726,0.19452054794520549,0.29315068493150687,0.019178082191780823,0.2356164383561644,0.14794520547945206,0.0273972602739726,0.23835616438356164,0.030136986301369864,0.136986301369863,0.010958904109589041,0.03287671232876712,0.18356164383561643,0.0410958904109589,0.03561643835616438,0.024657534246575342,0.005479452054794521,0.005479452054794521,0.01643835616438356,0.01643835616438356,0.052054794520547946,0.005479452054794521,0.0,0.00821917808219178,0.03287671232876712,0.049315068493150684,0.0027397260273972603,0.00821917808219178,0.07397260273972603,0.0273972602739726,0.01643835616438356,0.019178082191780823,0.0273972602739726,0.010958904109589041,0.005479452054794521,0.0273972602739726,0.0,0.005479452054794521,0.00821917808219178,0.01643835616438356,0.0027397260273972603,0.0,0.0,0.0027397260273972603,0.00821917808219178,0.0027397260273972603
