What is the monthly total income of your household (KES)?,annotation_Acceptance by others,annotation_Access to area,annotation_Access to finance,annotation_Accessibility to services,annotation_Aesthetics,annotation_Altruism,annotation_Appeal (senses),annotation_Aspiration,annotation_Asset,annotation_Availability of goods/products,annotation_Barter trade,annotation_Being healthy,annotation_Being informed,annotation_Being understood,annotation_Caring for others,annotation_Clean Air,annotation_Collaboration,annotation_Comfort,annotation_Community development,annotation_Connection,annotation_Consensus,annotation_Continuous costs,annotation_Diversity,annotation_Duty (role fulfilling),annotation_Ease of use,annotation_Entertainment,annotation_Entrepreneurship,annotation_Equality,annotation_Faith,annotation_Fixed costs,annotation_Food Security,annotation_Freedom of choice,annotation_Freedom of expression,annotation_Freedom to move,annotation_Home (feeling),annotation_Hygiene & Sanitation,annotation_Income,annotation_Innovation,annotation_Knowledge attainment (learning),annotation_Medical treatment,annotation_Mental health,annotation_Morality,annotation_Multipurpose,annotation_Ownership,annotation_Personal growth,annotation_Personal performance,annotation_Practical skill attainment,annotation_Preservation of natural environment,annotation_Privacy,annotation_Quality,annotation_Recreation,annotation_Reliability,annotation_Respect from others,"annotation_Safety (from animals, items, nature)",annotation_Security (from people),annotation_Self-worth,annotation_Shelter,annotation_Support network,annotation_Time benefit,annotation_Time management,annotation_Togetherness (loved ones),annotation_Tradition,annotation_Transportation (of goods),annotation_Travel (of people),annotation_Trust,annotation_Unburden,annotation_Understanding others,annotation_Water Security,annotation_Wellbeing,annotation_Yield
500.0,0.02702702702702703,0.02702702702702703,0.04054054054054054,0.0945945945945946,0.12162162162162163,0.013513513513513514,0.013513513513513514,0.0,0.013513513513513514,0.08108108108108109,0.02702702702702703,0.16216216216216217,0.22972972972972974,0.0,0.04054054054054054,0.02702702702702703,0.0,0.10810810810810811,0.013513513513513514,0.2702702702702703,0.0,0.06756756756756757,0.0,0.0,0.013513513513513514,0.02702702702702703,0.06756756756756757,0.0,0.21621621621621623,0.06756756756756757,0.3918918918918919,0.0,0.0,0.0,0.013513513513513514,0.05405405405405406,0.16216216216216217,0.0,0.20270270270270271,0.05405405405405406,0.02702702702702703,0.14864864864864866,0.28378378378378377,0.013513513513513514,0.013513513513513514,0.08108108108108109,0.06756756756756757,0.22972972972972974,0.14864864864864866,0.12162162162162163,0.0,0.10810810810810811,0.013513513513513514,0.36486486486486486,0.20270270270270271,0.02702702702702703,0.32432432432432434,0.06756756756756757,0.013513513513513514,0.02702702702702703,0.04054054054054054,0.04054054054054054,0.0945945945945946,0.06756756756756757,0.013513513513513514,0.05405405405405406,0.013513513513513514,0.32432432432432434,0.04054054054054054,0.12162162162162163
1000.0,0.0125,0.025,0.1,0.1625,0.1,0.025,0.0,0.0625,0.075,0.15,0.0,0.125,0.2,0.0,0.0375,0.0625,0.0,0.1,0.0375,0.325,0.0125,0.0625,0.0,0.0125,0.0625,0.0375,0.0625,0.0125,0.0875,0.1375,0.4125,0.0,0.0125,0.0,0.0125,0.15,0.1375,0.0125,0.275,0.15,0.05,0.0625,0.3375,0.05,0.0375,0.025,0.1,0.275,0.1,0.175,0.0125,0.075,0.025,0.4375,0.0875,0.0125,0.375,0.1625,0.025,0.0125,0.0125,0.0125,0.1125,0.075,0.0,0.0875,0.0125,0.35,0.0375,0.1625
2000.0,0.006060606060606061,0.030303030303030304,0.05454545454545454,0.10909090909090909,0.07272727272727272,0.030303030303030304,0.006060606060606061,0.01818181818181818,0.03636363636363636,0.11515151515151516,0.048484848484848485,0.11515151515151516,0.15757575757575756,0.006060606060606061,0.048484848484848485,0.024242424242424242,0.006060606060606061,0.04242424242424243,0.024242424242424242,0.2909090909090909,0.012121212121212121,0.04242424242424243,0.0,0.012121212121212121,0.030303030303030304,0.05454545454545454,0.06666666666666667,0.0,0.13333333333333333,0.07878787878787878,0.3212121212121212,0.0,0.006060606060606061,0.006060606060606061,0.01818181818181818,0.09090909090909091,0.09696969696969697,0.012121212121212121,0.15757575757575756,0.1696969696969697,0.01818181818181818,0.030303030303030304,0.2787878787878788,0.024242424242424242,0.01818181818181818,0.024242424242424242,0.10909090909090909,0.21818181818181817,0.07878787878787878,0.09090909090909091,0.01818181818181818,0.048484848484848485,0.024242424242424242,0.3151515151515151,0.12727272727272726,0.030303030303030304,0.24242424242424243,0.09090909090909091,0.030303030303030304,0.006060606060606061,0.024242424242424242,0.01818181818181818,0.12121212121212122,0.1393939393939394,0.0,0.07878787878787878,0.006060606060606061,0.2909090909090909,0.01818181818181818,0.10303030303030303
5000.0,0.0,0.02242152466367713,0.03587443946188341,0.09865470852017937,0.053811659192825115,0.004484304932735426,0.0,0.0,0.02242152466367713,0.06278026905829596,0.04484304932735426,0.07174887892376682,0.12556053811659193,0.004484304932735426,0.03139013452914798,0.026905829596412557,0.004484304932735426,0.03587443946188341,0.026905829596412557,0.17488789237668162,0.004484304932735426,0.04484304932735426,0.004484304932735426,0.008968609865470852,0.013452914798206279,0.013452914798206279,0.026905829596412557,0.0,0.09417040358744394,0.06726457399103139,0.242152466367713,0.008968609865470852,0.008968609865470852,0.004484304932735426,0.0,0.05829596412556054,0.08520179372197309,0.03139013452914798,0.08968609865470852,0.04932735426008968,0.0,0.02242152466367713,0.21076233183856502,0.004484304932735426,0.013452914798206279,0.017937219730941704,0.04035874439461883,0.16143497757847533,0.053811659192825115,0.05829596412556054,0.004484304932735426,0.08968609865470852,0.013452914798206279,0.25112107623318386,0.09865470852017937,0.008968609865470852,0.16591928251121077,0.06726457399103139,0.026905829596412557,0.02242152466367713,0.008968609865470852,0.017937219730941704,0.07174887892376682,0.06278026905829596,0.0,0.07174887892376682,0.004484304932735426,0.2242152466367713,0.008968609865470852,0.09865470852017937
10000.0,0.005263157894736842,0.021052631578947368,0.07894736842105263,0.13157894736842105,0.1,0.0,0.0,0.031578947368421054,0.02631578947368421,0.10526315789473684,0.042105263157894736,0.1,0.1631578947368421,0.005263157894736842,0.031578947368421054,0.07894736842105263,0.005263157894736842,0.042105263157894736,0.031578947368421054,0.2631578947368421,0.0,0.042105263157894736,0.005263157894736842,0.031578947368421054,0.02631578947368421,0.021052631578947368,0.03684210526315789,0.0,0.15789473684210525,0.07894736842105263,0.33157894736842103,0.0,0.0,0.0,0.005263157894736842,0.06315789473684211,0.07894736842105263,0.02631578947368421,0.07368421052631578,0.1,0.042105263157894736,0.04736842105263158,0.28421052631578947,0.02631578947368421,0.031578947368421054,0.03684210526315789,0.10526315789473684,0.24736842105263157,0.11578947368421053,0.12105263157894737,0.0,0.08947368421052632,0.005263157894736842,0.2894736842105263,0.10526315789473684,0.005263157894736842,0.24736842105263157,0.07894736842105263,0.042105263157894736,0.005263157894736842,0.015789473684210527,0.021052631578947368,0.11578947368421053,0.12105263157894737,0.0,0.1,0.005263157894736842,0.2736842105263158,0.0,0.11052631578947368
15000.0,0.0,0.047619047619047616,0.0380952380952381,0.10476190476190476,0.09523809523809523,0.009523809523809525,0.0,0.02857142857142857,0.02857142857142857,0.0761904761904762,0.0380952380952381,0.13333333333333333,0.11428571428571428,0.0,0.02857142857142857,0.047619047619047616,0.0,0.10476190476190476,0.01904761904761905,0.26666666666666666,0.0,0.06666666666666667,0.0,0.02857142857142857,0.0,0.02857142857142857,0.047619047619047616,0.0,0.13333333333333333,0.05714285714285714,0.3142857142857143,0.009523809523809525,0.0,0.0,0.0,0.06666666666666667,0.18095238095238095,0.01904761904761905,0.14285714285714285,0.08571428571428572,0.05714285714285714,0.0380952380952381,0.24761904761904763,0.009523809523809525,0.02857142857142857,0.047619047619047616,0.0761904761904762,0.23809523809523808,0.10476190476190476,0.13333333333333333,0.0,0.10476190476190476,0.0,0.3238095238095238,0.12380952380952381,0.0,0.19047619047619047,0.0761904761904762,0.0380952380952381,0.009523809523809525,0.01904761904761905,0.009523809523809525,0.13333333333333333,0.13333333333333333,0.0,0.14285714285714285,0.009523809523809525,0.3142857142857143,0.02857142857142857,0.21904761904761905
20000.0,0.0,0.04054054054054054,0.08108108108108109,0.08108108108108109,0.02702702702702703,0.013513513513513514,0.0,0.013513513513513514,0.04054054054054054,0.05405405405405406,0.05405405405405406,0.17567567567567569,0.1891891891891892,0.0,0.05405405405405406,0.12162162162162163,0.013513513513513514,0.13513513513513514,0.02702702702702703,0.2972972972972973,0.0,0.08108108108108109,0.0,0.013513513513513514,0.013513513513513514,0.0,0.04054054054054054,0.0,0.14864864864864866,0.12162162162162163,0.33783783783783783,0.0,0.0,0.0,0.013513513513513514,0.08108108108108109,0.12162162162162163,0.04054054054054054,0.12162162162162163,0.0945945945945946,0.02702702702702703,0.02702702702702703,0.2702702702702703,0.013513513513513514,0.013513513513513514,0.10810810810810811,0.12162162162162163,0.24324324324324326,0.10810810810810811,0.08108108108108109,0.013513513513513514,0.14864864864864866,0.0,0.32432432432432434,0.10810810810810811,0.013513513513513514,0.28378378378378377,0.06756756756756757,0.0,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.10810810810810811,0.12162162162162163,0.0,0.13513513513513514,0.013513513513513514,0.28378378378378377,0.02702702702702703,0.06756756756756757
25000.0,0.0,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.08333333333333333,0.125,0.16666666666666666,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.16666666666666666,0.0,0.2916666666666667,0.0,0.0,0.0,0.0,0.041666666666666664,0.08333333333333333,0.0,0.16666666666666666,0.125,0.0,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.0,0.0,0.125,0.16666666666666666,0.125,0.041666666666666664,0.0,0.041666666666666664,0.0,0.20833333333333334,0.041666666666666664,0.0,0.20833333333333334,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.0,0.08333333333333333,0.20833333333333334,0.0,0.041666666666666664,0.041666666666666664,0.20833333333333334,0.041666666666666664,0.125
30000.0,0.0,0.0,0.02857142857142857,0.14285714285714285,0.11428571428571428,0.0,0.0,0.0,0.0,0.02857142857142857,0.02857142857142857,0.11428571428571428,0.22857142857142856,0.0,0.05714285714285714,0.02857142857142857,0.0,0.08571428571428572,0.02857142857142857,0.2,0.0,0.02857142857142857,0.0,0.0,0.02857142857142857,0.02857142857142857,0.0,0.0,0.17142857142857143,0.08571428571428572,0.2571428571428571,0.0,0.0,0.0,0.0,0.08571428571428572,0.08571428571428572,0.0,0.08571428571428572,0.05714285714285714,0.0,0.02857142857142857,0.22857142857142856,0.02857142857142857,0.0,0.0,0.05714285714285714,0.22857142857142856,0.11428571428571428,0.05714285714285714,0.0,0.08571428571428572,0.02857142857142857,0.17142857142857143,0.05714285714285714,0.0,0.22857142857142856,0.05714285714285714,0.02857142857142857,0.05714285714285714,0.0,0.02857142857142857,0.08571428571428572,0.08571428571428572,0.0,0.08571428571428572,0.0,0.2,0.0,0.14285714285714285
35000.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0
40000.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.4,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2
45000.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
50000.0,0.0,0.1,0.1,0.2,0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.3,0.0,0.0,0.1,0.0,0.2,0.1,0.4,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.4,0.0,0.5,0.0,0.0,0.0,0.1,0.2,0.3,0.2,0.1,0.1,0.0,0.0,0.6,0.0,0.0,0.1,0.3,0.6,0.2,0.1,0.0,0.2,0.1,0.5,0.2,0.0,0.5,0.1,0.0,0.1,0.1,0.0,0.2,0.2,0.0,0.1,0.0,0.6,0.1,0.3
55000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0
