Total household size,Of these appliances which is the least valuable?_Computer,Of these appliances which is the least valuable?_Electric Iron,Of these appliances which is the least valuable?_Electric Pressure Cooker,Of these appliances which is the least valuable?_Fan,Of these appliances which is the least valuable?_Fridge,Of these appliances which is the least valuable?_Gas Stove,Of these appliances which is the least valuable?_Generator,Of these appliances which is the least valuable?_Grain Mill,Of these appliances which is the least valuable?_Grinder,Of these appliances which is the least valuable?_Irrigation Pump,Of these appliances which is the least valuable?_Mobile Phone,Of these appliances which is the least valuable?_Radio,Of these appliances which is the least valuable?_Stove,Of these appliances which is the least valuable?_TV,Of these appliances which is the least valuable?_Torch,Of these appliances which is the least valuable?_Water Pump
1.0,0.08,0.08,0.04,0.32,0.24,0.04,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.07894736842105263,0.05263157894736842,0.02631578947368421,0.10526315789473684,0.13157894736842105,0.13157894736842105,0.02631578947368421,0.05263157894736842,0.0,0.05263157894736842,0.02631578947368421,0.0,0.0,0.0,0.0,0.02631578947368421
3.0,0.10752688172043011,0.06451612903225806,0.043010752688172046,0.16129032258064516,0.20430107526881722,0.043010752688172046,0.03225806451612903,0.021505376344086023,0.010752688172043012,0.07526881720430108,0.010752688172043012,0.0,0.010752688172043012,0.021505376344086023,0.03225806451612903,0.010752688172043012
4.0,0.045454545454545456,0.032467532467532464,0.05194805194805195,0.2597402597402597,0.2012987012987013,0.025974025974025976,0.045454545454545456,0.012987012987012988,0.012987012987012988,0.025974025974025976,0.006493506493506494,0.012987012987012988,0.0,0.01948051948051948,0.006493506493506494,0.006493506493506494
5.0,0.06358381502890173,0.06358381502890173,0.028901734104046242,0.2658959537572254,0.15606936416184972,0.028901734104046242,0.0,0.017341040462427744,0.023121387283236993,0.011560693641618497,0.011560693641618497,0.05202312138728324,0.011560693641618497,0.03468208092485549,0.017341040462427744,0.017341040462427744
6.0,0.08527131782945736,0.07751937984496124,0.015503875968992248,0.20155038759689922,0.11627906976744186,0.031007751937984496,0.031007751937984496,0.015503875968992248,0.007751937984496124,0.007751937984496124,0.0,0.05426356589147287,0.015503875968992248,0.05426356589147287,0.05426356589147287,0.015503875968992248
7.0,0.06611570247933884,0.06611570247933884,0.04132231404958678,0.21487603305785125,0.17355371900826447,0.024793388429752067,0.03305785123966942,0.008264462809917356,0.01652892561983471,0.03305785123966942,0.01652892561983471,0.01652892561983471,0.03305785123966942,0.0,0.024793388429752067,0.0
8.0,0.12903225806451613,0.06451612903225806,0.021505376344086023,0.1827956989247312,0.16129032258064516,0.021505376344086023,0.010752688172043012,0.0,0.03225806451612903,0.053763440860215055,0.021505376344086023,0.0,0.010752688172043012,0.06451612903225806,0.010752688172043012,0.0
9.0,0.0,0.08620689655172414,0.034482758620689655,0.13793103448275862,0.20689655172413793,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.017241379310344827,0.05172413793103448,0.0,0.017241379310344827,0.017241379310344827,0.05172413793103448,0.034482758620689655,0.034482758620689655
10.0,0.14583333333333334,0.041666666666666664,0.0,0.22916666666666666,0.14583333333333334,0.020833333333333332,0.041666666666666664,0.020833333333333332,0.041666666666666664,0.0,0.020833333333333332,0.0,0.0,0.020833333333333332,0.041666666666666664,0.041666666666666664
11.0,0.043478260869565216,0.13043478260869565,0.0,0.30434782608695654,0.043478260869565216,0.13043478260869565,0.0,0.0,0.08695652173913043,0.0,0.043478260869565216,0.0,0.0,0.043478260869565216,0.0,0.08695652173913043
12.0,0.2,0.2,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.1,0.0,0.1,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0
14.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.2727272727272727,0.18181818181818182,0.0,0.09090909090909091,0.18181818181818182,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0
17.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
18.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0
21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
31.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
